transaction_id,client,date,categorie,montant
T00000001,Keith Simon,2023-08-01,Électronique,954.09
T00000002,James Love,2023-04-21,Maison,313.61
T00000003,Christopher Vega,2023-06-07,Maison,732.26
T00000004,Jacqueline Estrada,2023-03-30,Maison,923.64
T00000005,Angela Yoder,2023-09-15,Électronique,13.82
T00000006,Stephanie Berry,2023-01-13,Livres,44.87
T00000007,Shawn Jones,2023-02-23,Maison,514.94
T00000008,Michael Myers,2023-09-16,Maison,401.71
T00000009,Joseph Nicholson,2023-10-18,Maison,291.44
T00000010,Tracey Evans,2023-06-03,Électronique,479.39
T00000011,Edward Smith,2023-04-17,Maison,172.41
T00000012,Michael Richardson Jr.,2023-03-31,Électronique,897.83
T00000013,Melissa Villarreal,2023-08-19,Électronique,66.44
T00000014,Roger Hendrix,2023-08-13,Livres,100.94
T00000015,Jennifer Smith,2023-11-30,Maison,367.95
T00000016,Dorothy Romero,2023-07-31,Livres,650.3
T00000017,Alicia Rowe,2023-01-08,Livres,163.17
T00000018,Russell Miller,2023-05-14,Jeux,671.74
T00000019,Peter Walters,2023-01-11,Vêtements,199.75
T00000020,Natasha Gaines,2023-10-15,Jeux,190.01
T00000021,Laura Scott,2023-09-23,Vêtements,91.92
T00000022,Mary Rodriguez,2023-06-05,Jeux,60.02
T00000023,Jenna Mendoza,2023-03-28,Vêtements,426.2
T00000024,Erica Howard,2023-03-28,Livres,172.87
T00000025,Gina Lawrence,2023-01-05,Électronique,60.07
T00000026,Brandon Jones,2023-11-11,Vêtements,411.05
T00000027,April Lane,2023-11-21,Maison,781.09
T00000028,Nicholas Roach,2023-05-07,Jeux,478.79
T00000029,Lisa Keller,2023-02-24,Maison,467.34
T00000030,Lance Moran,2023-02-16,Jeux,542.96
T00000031,Keith Cruz,2023-01-22,Vêtements,607.77
T00000032,Manuel Ryan,2023-11-02,Maison,102.01
T00000033,Selena Clark,2023-07-18,Vêtements,109.9
T00000034,Rebecca Miles,2023-04-16,Électronique,733.47
T00000035,Thomas Villanueva,2023-02-28,Jeux,102.11
T00000036,Sherri Diaz,2023-03-26,Jeux,740.86
T00000037,Megan Clark,2023-05-12,Vêtements,881.24
T00000038,Michael Mitchell,2023-06-21,Livres,926.45
T00000039,Joshua Thornton,2023-05-01,Vêtements,462.03
T00000040,John Weber,2023-12-01,Vêtements,512.39
T00000041,Cynthia Ochoa,2023-04-27,Vêtements,646.5
T00000042,Michael Gibbs,2023-12-16,Maison,120.69
T00000043,Walter Peters,2023-10-01,Électronique,414.39
T00000044,Andrea Moore,2023-10-21,Livres,754.02
T00000045,Vincent Small,2023-11-29,Vêtements,899.58
T00000046,Ryan May,2023-07-27,Électronique,489.28
T00000047,Stephen Potter,2023-03-08,Vêtements,227.83
T00000048,Julia Hubbard,2023-09-26,Livres,521.87
T00000049,Danny Green,2023-06-01,Livres,721.05
T00000050,Molly Jordan MD,2023-01-05,Maison,134.42
T00000051,Cody Tyler,2023-09-05,Vêtements,368.29
T00000052,Robin Moreno,2023-10-11,Jeux,151.38
T00000053,Susan Myers,2023-08-21,Jeux,126.96
T00000054,Heather Jones,2023-08-01,Livres,81.29
T00000055,Erik Smith,2023-12-19,Électronique,200.5
T00000056,Norman Smith,2023-05-04,Jeux,951.85
T00000057,Shelly Wiley,2023-03-08,Jeux,701.15
T00000058,Gloria Long,2023-03-02,Livres,207.96
T00000059,Justin Wilson,2023-06-04,Électronique,198.49
T00000060,Jennifer Ponce,2023-02-18,Électronique,101.79
T00000061,Adam Bishop,2023-03-18,Jeux,318.75
T00000062,Patty Hayes,2023-01-05,Maison,519.27
T00000063,Nancy Matthews,2023-09-04,Électronique,15.48
T00000064,Jeffrey Salazar,2023-09-14,Livres,936.0
T00000065,Brandon King,2023-02-16,Jeux,724.45
T00000066,Jason Floyd,2023-12-24,Vêtements,526.93
T00000067,Brittany Washington,2023-12-15,Maison,134.07
T00000068,William Davis,2023-08-19,Maison,654.12
T00000069,Jordan Dickerson,2023-01-18,Livres,138.47
T00000070,Brittany White,2023-06-20,Électronique,120.5
T00000071,Michael Robles,2023-08-23,Maison,95.93
T00000072,William Gallagher,2023-05-26,Jeux,404.68
T00000073,Michelle Wright,2023-07-13,Vêtements,787.81
T00000074,Kelly Barnett,2023-06-17,Maison,409.64
T00000075,Lisa Burke,2023-05-23,Livres,822.92
T00000076,Julie Gutierrez,2023-12-16,Maison,175.9
T00000077,Daniel George,2023-05-11,Maison,459.08
T00000078,Jennifer Singleton,2023-07-15,Électronique,59.82
T00000079,Jeremy Sanchez,2023-01-19,Vêtements,608.39
T00000080,Deanna Parker,2023-02-03,Jeux,62.04
T00000081,Olivia Burke,2023-12-16,Maison,44.24
T00000082,Sarah Schneider,2023-06-09,Électronique,419.76
T00000083,Aaron Curtis DVM,2023-12-30,Livres,362.32
T00000084,Lori Quinn,2023-09-19,Jeux,80.82
T00000085,Jo Green,2023-09-03,Livres,160.57
T00000086,Shane Scott,2023-05-24,Maison,508.74
T00000087,Carl Warren,2023-06-27,Électronique,683.34
T00000088,Sharon Woods,2023-03-05,Vêtements,616.91
T00000089,Pamela Bailey,2023-01-16,Électronique,147.25
T00000090,John Wang,2023-07-15,Vêtements,707.04
T00000091,Kelly Holmes,2023-09-20,Électronique,742.39
T00000092,Mr. Frank Evans,2023-06-28,Livres,96.3
