transaction_id,client,date,categorie,montant
T0001,John Murphy,2023-04-27,Électronique,95.78
T0002,Lisa Kelly,2023-01-22,Jeux,42.14
T0003,Julie Gonzalez,2023-03-30,Vêtements,178.96
T0004,Joshua Jones,2023-04-06,Livres,165.23
T0005,Olivia Lopez,2023-02-13,Électronique,200.64
T0006,Ryan Buchanan,2023-06-12,Maison,268.93
T0007,Pamela Barnes,2023-05-26,Électronique,157.28
T0008,Sheila Lane,2023-04-30,Vêtements,447.46
T0009,Robert Randolph,2023-06-03,Jeux,212.78
T0010,Michael Davis,2023-03-10,Jeux,84.67
T0011,Kelly Frederick,2023-03-23,Jeux,133.11
T0012,Nicholas Williams,2023-03-13,Jeux,128.21
T0013,Sarah Dickerson,2023-02-27,Vêtements,363.14
T0014,Michelle Morgan,2023-06-18,Électronique,104.93
T0015,Heather West,2023-06-13,Jeux,48.0
T0016,Carrie Morris,2023-03-18,Livres,451.29
T0017,Larry Turner,2023-01-25,Maison,231.52
T0018,Haley Pham,2023-03-09,Maison,327.42
T0019,Karla Ferguson,2023-01-29,Maison,170.79
T0020,Aaron Green,2023-04-02,Jeux,40.32
T0021,Julia Hayes,2023-02-02,Vêtements,275.22
T0022,Sara Smith,2023-05-29,Électronique,309.46
T0023,Sara Lutz,2023-06-26,Jeux,404.56
T0024,Oscar Rosario,2023-02-25,Livres,299.21
T0025,Tina Jimenez,2023-04-03,Vêtements,358.92
T0026,Shane Quinn,2023-04-30,Électronique,129.53
T0027,Joseph Davis,2023-01-04,Maison,162.97
T0028,Adam Castro,2023-05-08,Maison,430.3
T0029,Zachary Padilla,2023-01-05,Maison,377.88
T0030,Edwin Bryan,2023-01-01,Livres,184.62
T0031,Courtney Yates,2023-03-18,Vêtements,368.39
T0032,Nicole Monroe,2023-05-09,Jeux,37.17
T0033,Ryan Johnson,2023-04-19,Livres,42.56
T0034,Kevin Thomas,2023-04-12,Jeux,150.25
T0035,Holly Coleman,2023-03-18,Maison,424.54
T0036,Tina Gibson,2023-05-03,Vêtements,246.41
T0037,Shelly Moore,2023-02-10,Électronique,240.89
T0038,Tara Jackson,2023-04-08,Maison,156.89
T0039,Michele Gordon,2023-02-09,Électronique,179.59
T0040,Emily Turner,2023-01-02,Livres,494.46
T0041,Lori Jones,2023-04-06,Jeux,434.49
T0042,Charles Johnson,2023-02-25,Jeux,386.41
T0043,Ronald Ray,2023-06-01,Vêtements,141.59
T0044,Derek Foster,2023-01-28,Vêtements,132.75
T0045,Michael Walker,2023-05-03,Jeux,186.15
T0046,William Campbell,2023-03-07,Maison,159.42
T0047,Kari Scott,2023-04-02,Jeux,170.15
