transaction_id,client,date,categorie,montant
T0001,Juan Nelson,2023-06-03,Vêtements,405.06
T0002,Christopher Lowery,2023-05-29,Maison,417.78
T0003,Miranda Kennedy,2023-04-19,Vêtements,213.18
T0004,James Johnson,2023-03-11,Vêtements,470.66
T0005,Dennis Ponce,2023-02-26,Jeux,25.45
T0006,Brian Watkins,2023-01-22,Vêtements,172.48
T0007,James Nelson,2023-04-27,Électronique,108.18
T0008,Brittany Mckee,2023-03-24,Vêtements,147.32
T0009,Holly Payne,2023-01-22,Électronique,147.75
T0010,Jared Wells,2023-04-10,Jeux,318.48
T0011,Mary Hernandez,2023-04-12,Vêtements,179.15
T0012,Ashley Hernandez,2023-03-08,Maison,457.43
T0013,Timothy Todd,2023-06-05,Jeux,313.98
T0014,Bryan Lewis,2023-05-03,Vêtements,303.74
T0015,Donna Hernandez,2023-05-27,Vêtements,445.88
T0016,Mr. Brian Bennett PhD,2023-03-20,Maison,259.02
T0017,John Hamilton,2023-02-01,Livres,438.82
T0018,Nicholas Green,2023-03-16,Électronique,385.49
T0019,Joanne Pacheco,2023-05-24,Vêtements,252.44
T0020,Jennifer Young,2023-06-26,Vêtements,219.59
T0021,Diana Williams,2023-04-08,Électronique,12.32
T0022,Daniel Lee,2023-03-10,Maison,332.3
T0023,Daniel Mcdonald,2023-02-27,Jeux,38.26
T0024,Catherine Tucker,2023-02-24,Vêtements,377.84
T0025,Christopher Brown,2023-06-05,Maison,316.86
T0026,Joshua Blair,2023-05-05,Maison,118.12
T0027,Andrea Bell,2023-04-30,Vêtements,491.79
T0028,Kelsey Watkins,2023-02-06,Jeux,42.25
T0029,Angela Lawson,2023-03-24,Jeux,234.58
T0030,Antonio Bishop,2023-02-06,Maison,135.09
T0031,Andrew Owens,2023-02-15,Électronique,280.41
T0032,Elizabeth Huffman,2023-02-05,Vêtements,393.58
T0033,Jennifer Mayer,2023-01-07,Vêtements,20.26
T0034,James Holmes,2023-05-28,Livres,394.4
T0035,Matthew Morris,2023-03-30,Livres,216.48
T0036,Victoria Cisneros,2023-05-25,Maison,458.34
T0037,Danny Martin,2023-03-14,Jeux,231.15
T0038,Scott Brooks,2023-04-25,Électronique,470.48
T0039,David Moody,2023-02-02,Maison,286.0
T0040,John Wilson,2023-04-28,Jeux,486.81
T0041,Clayton Johnson,2023-01-07,Jeux,54.96
T0042,Johnny Wagner,2023-04-21,Livres,396.64
T0043,Bridget Young,2023-02-26,Jeux,485.5
T0044,Kevin Hamilton,2023-06-26,Livres,497.66
T0045,Molly Cortez,2023-04-14,Jeux,260.77
T0046,Sophia Herrera,2023-01-24,Jeux,317.34
T0047,Christopher Figueroa,2023-05-28,Vêtements,294.42
T0048,Darren Torres,2023-05-18,Livres,297.27
T0049,Jackson Howard,2023-03-21,Maison,499.01
T0050,Terry Lane,2023-04-11,Maison,129.38
T0051,Kevin Townsend,2023-01-30,Électronique,184.56
T0052,Stephanie Smith,2023-05-05,Vêtements,260.26
T0053,Gabrielle Norman,2023-04-11,Livres,130.4
T0054,Angela Kline,2023-05-20,Livres,146.96
T0055,Darius Barnes,2023-03-11,Jeux,324.94
T0056,Laura Cruz,2023-06-03,Électronique,285.36
T0057,Lisa Haley,2023-02-14,Maison,221.51
T0058,Cheryl Barnes,2023-04-18,Livres,316.62
T0059,Brian Scott,2023-06-01,Électronique,293.46
T0060,Joseph Reynolds,2023-02-08,Maison,447.12
T0061,Terry Calhoun,2023-01-27,Électronique,106.27
T0062,Kelsey Gray,2023-05-01,Vêtements,33.95
T0063,James Curtis,2023-05-16,Maison,33.55
